index,axis-0,axis-1,axis-2
0.0,30.0,13.90840911,27.02955319
1.0,30.0,32.27800681,82.51323603
2.0,30.0,11.28418087,148.86872159
3.0,30.0,46.52381727,182.60879899
4.0,30.0,73.89076894,108.3806287
5.0,30.0,96.00926413,160.11541406
6.0,30.0,47.64848652,226.09600987
7.0,30.0,142.12070325,186.73258623
8.0,30.0,145.86960074,242.59115882
9.0,30.0,200.97839383,173.61144502
10.0,30.0,154.49206496,112.87930569
11.0,30.0,135.74757752,39.77580465
12.0,30.0,182.60879613,52.14716636
13.0,30.0,221.97221977,82.13834628
14.0,30.0,241.09159696,136.12247012
15.0,30.0,250.46384069,209.60086091
